	Arg1	Arg2	Conn1	Conn2	ExplConn	File	RelType	SClass1A	SClass1B	SClass2A	SClass2B	Sup1	Sup2
24	Es sind 65.000 Menschen gekommen	Chemnitz ist in dem Bundes-Land Sachsen	NA	NA	NA	konzert-gegen-rechts.2042.de.html__dram_article__id=427427.txt	NoRel	NA	NA	NA	NA	NA	NA
25	Chemnitz ist in dem Bundes-Land Sachsen	Der Regierungs-Chef von Sachsen heißt Michael Kretschmer	NA	NA	NA	konzert-gegen-rechts.2042.de.html__dram_article__id=427427.txt	EntRel	NA	NA	NA	NA	NA	NA
26	Der Regierungs-Chef von Sachsen heißt Michael Kretschmer	Er hat gesagt: Sachsen hat ein großes Problem mit den Rechts-Radikalen	NA	NA	NA	konzert-gegen-rechts.2042.de.html__dram_article__id=427427.txt	EntRel	NA	NA	NA	NA	NA	NA
27	Er hat gesagt: Sachsen hat ein großes Problem mit den Rechts-Radikalen	Er hat...gesagt: Es hat in Chemnitz keine Hetz-Jagden gegeben	NA	NA	aber auch	konzert-gegen-rechts.2042.de.html__dram_article__id=427427.txt	Explicit	Comparison.Concession.Arg2-as-denier	NA	NA	NA	NA	NA
28	Er hat aber auch gesagt: Es hat in Chemnitz keine Hetz-Jagden gegeben	streiten sich Politiker und Bürger darüber, ob in Chemnitz wirklich Ausländer gejagt worden sind	NA	NA	Seitdem	konzert-gegen-rechts.2042.de.html__dram_article__id=427427.txt	Explicit	Temporal.Asynchronous.Precedence	Contingency.Cause.Result	NA	NA	NA	NA
29	Seitdem streiten sich Politiker und Bürger darüber, ob in Chemnitz wirklich Ausländer gejagt worden sind	Der Bundes-Innen-Minister von Deutschland ist Horst Seehofer von der Partei CSU	NA	NA	NA	konzert-gegen-rechts.2042.de.html__dram_article__id=427427.txt	EntRel	NA	NA	NA	NA	NA	NA
30	Der Bundes-Innen-Minister von Deutschland ist Horst Seehofer von der Partei CSU	Er soll vor anderen Partei-Mitgliedern gesagt haben: Er versteht, wenn die Menschen empört sind über das Verbrechen. Und wenn sie dann demonstrieren. Das macht sie nicht zu Nazis	NA	NA	NA	konzert-gegen-rechts.2042.de.html__dram_article__id=427427.txt	EntRel	NA	NA	NA	NA	NA	NA
31	wenn die Menschen empört sind über das Verbrechen	Und wenn sie...demonstrieren	NA	NA	dann	konzert-gegen-rechts.2042.de.html__dram_article__id=427427.txt	Explicit	Contingency.Cause.Result	Temporal.Asynchronous.Precedence	NA	NA	NA	NA
32	Der Botschafter von dem Land USA in Deutschland heißt Richard Grenell	Um ihn gibt es jetzt Ärger	NA	NA	NA	aerger-um-botschafter.2042.de.html__dram_article__id=419785.txt	EntRel	NA	NA	NA	NA	NA	NA
33	Um ihn gibt es jetzt Ärger	Er hat in einem Interview umstrittene Dinge gesagt	denn	NA	NA	aerger-um-botschafter.2042.de.html__dram_article__id=419785.txt	Implicit	Contingency.Cause.Reason	NA	NA	NA	NA	NA
34	Er hat in einem Interview umstrittene Dinge gesagt	Grenell lebt seit Mai in Berlin	NA	NA	NA	aerger-um-botschafter.2042.de.html__dram_article__id=419785.txt	EntRel	NA	NA	NA	NA	NA	NA
35	Grenell lebt seit Mai in Berlin	Er soll die Interessen von den USA in Deutschland vertreten	NA	NA	soll	aerger-um-botschafter.2042.de.html__dram_article__id=419785.txt	AltLex	Contingency.Purpose.Arg2-as-goal	NA	NA	NA	NA	NA
36	Jetzt hat Richard Grenell einem Internet-Portal ein Interview gegeben	Grenell hat in dem Interview gesagt: Es ist eine spannende Zeit, um in Europa zu leben. Denn überall in Europa werden die konservativen Parteien und Gruppierungen stärker	und zwar	NA	NA	aerger-um-botschafter.2042.de.html__dram_article__id=419785.txt	Implicit	Expansion.Level-of-detail.Arg2-as-detail	NA	NA	NA	"Das Portal heißt ""Breitbart"" und ist politisch sehr rechts"	NA
37	Es ist eine spannende Zeit, um in Europa zu leben	überall in Europa werden die konservativen Parteien und Gruppierungen stärker	NA	NA	Denn	aerger-um-botschafter.2042.de.html__dram_article__id=419785.txt	Explicit	Contingency.Cause+Belief.Reason+Belief	NA	NA	NA	NA	NA
38	Grenell hat in dem Interview gesagt: Es ist eine spannende Zeit, um in Europa zu leben. Denn überall in Europa werden die konservativen Parteien und Gruppierungen stärker	Grenell hat gesagt, dass er die Anführer von den konservativen Gruppen unterstützen will	auch	NA	NA	aerger-um-botschafter.2042.de.html__dram_article__id=419785.txt	Implicit	Comparison.Similarity	Expansion.Conjunction	NA	NA	NA	NA
39	Grenell hat gesagt, dass er die Anführer von den konservativen Gruppen unterstützen will	er hat gesagt, dass die Politik von den linken Parteien falsch war	NA	NA	Und	aerger-um-botschafter.2042.de.html__dram_article__id=419785.txt	Explicit	Expansion.Conjunction	NA	NA	NA	NA	NA
40	Und er hat gesagt, dass die Politik von den linken Parteien falsch war	hat Grenell Sebastian Kurz gelobt	NA	NA	Außerdem	aerger-um-botschafter.2042.de.html__dram_article__id=419785.txt	Explicit	Expansion.Conjunction	NA	NA	NA	NA	NA
41	Außerdem hat Grenell Sebastian Kurz gelobt	Er ist auch sehr konservativ	denn	NA	NA	aerger-um-botschafter.2042.de.html__dram_article__id=419785.txt	Implicit	Contingency.Cause.Reason	NA	NA	NA	Kurz ist der Kanzler von dem Land Österreich	NA
42	Denn überall in Europa werden die konservativen Parteien und Gruppierungen stärker	Er ist...sehr konservativ	NA	NA	auch	aerger-um-botschafter.2042.de.html__dram_article__id=419785.txt	Explicit	Comparison.Similarity	NA	NA	NA	NA	Kurz ist der Kanzler von dem Land Österreich
43	Er ist auch sehr konservativ	Politiker von der Opposition in den USA haben sich über diese Äußerungen aufgeregt	NA	NA	NA	aerger-um-botschafter.2042.de.html__dram_article__id=419785.txt	NoRel	NA	NA	NA	NA	NA	NA
44	Politiker von der Opposition in den USA haben sich über diese Äußerungen aufgeregt	Sie sagen: Ein Botschafter soll sich nicht für eine Partei engagieren. Er soll neutral sein	indem	NA	NA	aerger-um-botschafter.2042.de.html__dram_article__id=419785.txt	Implicit	Expansion.Level-of-detail.Arg2-as-detail	Expansion.Manner.Arg2-as-manner	NA	NA	NA	NA
45	Ein Botschafter soll sich nicht für eine Partei engagieren	Er soll neutral sein	sondern	das heißt	NA	aerger-um-botschafter.2042.de.html__dram_article__id=419785.txt	Implicit	Expansion.Substitution.Arg2-as-subst	NA	Undecided	NA	NA	NA
46	Politiker von der Opposition in den USA haben sich über diese Äußerungen aufgeregt	In Deutschland haben sich die Politiker...geärgert	NA	NA	noch mehr	aerger-um-botschafter.2042.de.html__dram_article__id=419785.txt	AltLex	Comparison.Contrast	Comparison.Similarity	NA	NA	Sie sagen: Ein Botschafter soll sich nicht für eine Partei engagieren. Er soll neutral sein	NA
47	In Deutschland haben sich die Politiker noch mehr geärgert	Sie finden: Grenell soll sich nicht in deutsche Politik einmischen	denn	NA	NA	aerger-um-botschafter.2042.de.html__dram_article__id=419785.txt	Implicit	Contingency.Cause.Reason	NA	NA	NA	NA	NA
48	In Deutschland haben sich die Politiker noch mehr geärgert	konservative deutsche Politiker haben Grenell deshalb kritisiert	NA	NA	Auch	aerger-um-botschafter.2042.de.html__dram_article__id=419785.txt	Explicit	Expansion.Instantiation.Arg2-as-instance	Comparison.Similarity	NA	NA	NA	NA
49	Sie finden: Grenell soll sich nicht in deutsche Politik einmischen	Auch konservative deutsche Politiker haben Grenell...kritisiert	NA	NA	deshalb	aerger-um-botschafter.2042.de.html__dram_article__id=419785.txt	Explicit	Contingency.Cause.Result	NA	NA	NA	NA	NA
50	Auch konservative deutsche Politiker haben Grenell deshalb kritisiert	Grenell hat...gesagt: Ich will mit allen Parteien zusammenarbeiten	NA	NA	inzwischen	aerger-um-botschafter.2042.de.html__dram_article__id=419785.txt	Explicit	Temporal.Asynchronous.Precedence	Contingency.Cause.Result	NA	NA	NA	NA
51	Hacker haben das Computer-System von der Bundes-Regierung angegriffen	Sie haben das Außen-Ministerium und das Verteidigungs-Ministerium angegriffen	genauer gesagt	NA	NA	hacker-angriff-auf-regierung.2042.de.html__dram_article__id=411994.txt	Implicit	Expansion.Level-of-detail.Arg2-as-detail	NA	NA	NA	Hacker sind Computer-Experten	NA
52	Sie haben das Außen-Ministerium und das Verteidigungs-Ministerium angegriffen	Es ist noch nicht bekannt, wer hinter den Angriffen steckt	NA	NA	NA	hacker-angriff-auf-regierung.2042.de.html__dram_article__id=411994.txt	EntRel	NA	NA	NA	NA	NA	NA
53	Es ist noch nicht bekannt, wer hinter den Angriffen steckt	Es gibt Vermutungen, dass es Hacker aus Russland waren	zwar...aber	NA	NA	hacker-angriff-auf-regierung.2042.de.html__dram_article__id=411994.txt	Implicit	Comparison.Concession.Arg2-as-denier	NA	NA	NA	NA	NA
54	Es gibt Vermutungen, dass es Hacker aus Russland waren	Das Innen-Ministerium sagt: Der Angriff ist unter Kontrolle. Wir versuchen, den Fall aufzuklären	NA	NA	NA	hacker-angriff-auf-regierung.2042.de.html__dram_article__id=411994.txt	EntRel	NA	NA	NA	NA	NA	NA
55	Das Innen-Ministerium sagt: Der Angriff ist unter Kontrolle. Wir versuchen, den Fall aufzuklären	Es ist noch nicht klar, ob es bei dem Angriff Schäden gegeben hat und ob geheime Informationen gestohlen wurden	allerdings	NA	NA	hacker-angriff-auf-regierung.2042.de.html__dram_article__id=411994.txt	Implicit	Comparison.Concession.Arg2-as-denier	NA	NA	NA	NA	NA
56	Es ist noch nicht klar, ob es bei dem Angriff Schäden gegeben hat und ob geheime Informationen gestohlen wurden	Weltweit gibt es immer mehr Angriffe auf Computer-Systeme	NA	NA	NA	hacker-angriff-auf-regierung.2042.de.html__dram_article__id=411994.txt	EntRel	NA	NA	NA	NA	NA	NA
57	Weltweit gibt es immer mehr Angriffe auf Computer-Systeme	Es gibt...Angriffe auf die Computer von Firmen und einzelnen Menschen	NA	NA	auch	hacker-angriff-auf-regierung.2042.de.html__dram_article__id=411994.txt	Explicit	Expansion.Instantiation.Arg2-as-instance	Expansion.Level-of-detail.Arg2-as-detail	NA	NA	NA	NA
58	Es gibt auch Angriffe auf die Computer von Firmen und einzelnen Menschen	Mit gestohlenen Daten können Kriminelle großen Schaden anrichten	NA	NA	Mit gestohlenen Daten	hacker-angriff-auf-regierung.2042.de.html__dram_article__id=411994.txt	AltLex	Expansion.Manner.Arg1-as-manner	NA	NA	NA	NA	NA
59	Mit gestohlenen Daten können Kriminelle großen Schaden anrichten	Sie können...Geld von Bank-Konten stehlen	NA	NA	zum Beispiel	hacker-angriff-auf-regierung.2042.de.html__dram_article__id=411994.txt	Explicit	Expansion.Instantiation.Arg2-as-instance	NA	NA	NA	NA	NA
60	Sie können zum Beispiel Geld von Bank-Konten stehlen	sie geheime Sicherheits-Informationen über ein Land stehlen	NA	NA	Oder	hacker-angriff-auf-regierung.2042.de.html__dram_article__id=411994.txt	Explicit	Expansion.Disjunction	NA	NA	NA	NA	NA
61	Viele wichtige Politiker aus der ganzen Welt sind bei dem Treffen von der Nato gewesen	der Präsident von den USA, Donald Trump	NA	NA	Zum Beispiel	aerger-bei-nato-treffen.2042.de.html__dram_article__id=422758.txt	Explicit	Expansion.Instantiation.Arg2-as-instance	NA	NA	NA	NA	NA
62	Zum Beispiel der Präsident von den USA, Donald Trump	Bundes-Kanzlerin Angela Merkel war dabei	NA	NA	Auch	aerger-bei-nato-treffen.2042.de.html__dram_article__id=422758.txt	Explicit	Expansion.Conjunction	NA	NA	NA	NA	NA
63	Auch Bundes-Kanzlerin Angela Merkel war dabei	Die beiden hatten Streit	NA	NA	NA	aerger-bei-nato-treffen.2042.de.html__dram_article__id=422758.txt	EntRel	NA	NA	NA	NA	NA	NA
64	Die beiden hatten Streit	Donald Trump hat...Ärger gemacht	NA	NA	Und...auch sonst	aerger-bei-nato-treffen.2042.de.html__dram_article__id=422758.txt	Explicit	Comparison.Similarity	Expansion.Instantiation.Arg1-as-instance	NA	NA	NA	NA
65	Und Donald Trump hat auch sonst Ärger gemacht	Die Nato ist ein Bündnis für die Verteidigung	NA	NA	NA	aerger-bei-nato-treffen.2042.de.html__dram_article__id=422758.txt	NoRel	NA	NA	NA	NA	NA	NA
66	Die Nato ist ein Bündnis für die Verteidigung	Die Länder machen...gemeinsame Einsätze mit ihren Soldaten	NA	NA	zum Beispiel	aerger-bei-nato-treffen.2042.de.html__dram_article__id=422758.txt	Explicit	Expansion.Instantiation.Arg2-as-instance	NA	NA	NA	NA	NA
67	Die Länder machen zum Beispiel gemeinsame Einsätze mit ihren Soldaten	Die Länder haben auf dem Treffen in der Stadt Brüssel beschlossen: Wir geben mehr Geld für unser Militär aus. Das machen wir in den nächsten Jahren	deshalb	NA	NA	aerger-bei-nato-treffen.2042.de.html__dram_article__id=422758.txt	Implicit	Contingency.Cause.Result	NA	NA	NA	NA	NA
68	Wir geben mehr Geld für unser Militär aus	Das machen wir in den nächsten Jahren	und zwar	NA	NA	aerger-bei-nato-treffen.2042.de.html__dram_article__id=422758.txt	Implicit	Expansion.Level-of-detail.Arg2-as-detail	NA	NA	NA	NA	NA
69	Die Länder haben auf dem Treffen in der Stadt Brüssel beschlossen: Wir geben mehr Geld für unser Militär aus	Donald Trump hat...gesagt: Das reicht nicht	NA	NA	aber	aerger-bei-nato-treffen.2042.de.html__dram_article__id=422758.txt	Explicit	Comparison.Concession.Arg2-as-denier	NA	NA	NA	Das machen wir in den nächsten Jahren	Die USA zahlen jetzt schon viel. Die anderen Länder sollen deshalb sofort mehr Geld geben. Und sie sollen viel mehr Geld geben, als sie bisher gesagt haben
70	Das reicht nicht	Die USA zahlen jetzt schon viel	denn	NA	NA	aerger-bei-nato-treffen.2042.de.html__dram_article__id=422758.txt	Implicit	Contingency.Cause+Belief.Reason+Belief	NA	NA	NA	NA	NA
71	Die USA zahlen jetzt schon viel	Die anderen Länder sollen...sofort mehr Geld geben	NA	NA	deshalb	aerger-bei-nato-treffen.2042.de.html__dram_article__id=422758.txt	Explicit	Contingency.Cause+Belief.Result+Belief	NA	NA	NA	NA	NA
72	Die anderen Länder sollen deshalb sofort mehr Geld geben	sie sollen viel mehr Geld geben, als sie bisher gesagt haben	NA	NA	Und	aerger-bei-nato-treffen.2042.de.html__dram_article__id=422758.txt	Explicit	Expansion.Conjunction	Expansion.Level-of-detail.Arg2-as-detail	NA	NA	NA	NA
73	Die anderen Länder sollen deshalb sofort mehr Geld geben	Das wollen die anderen Länder...nicht	NA	NA	aber	aerger-bei-nato-treffen.2042.de.html__dram_article__id=422758.txt	Explicit	Comparison.Concession.Arg2-as-denier	NA	NA	NA	Und sie sollen viel mehr Geld geben, als sie bisher gesagt haben	NA
74	Donald Trump hat aber gesagt: Das reicht nicht	Der Präsident von den USA hat...Streit gehabt mit Angela Merkel	NA	NA	auch	aerger-bei-nato-treffen.2042.de.html__dram_article__id=422758.txt	Explicit	Comparison.Similarity	Expansion.Conjunction	NA	NA	Die USA zahlen jetzt schon viel. Die anderen Länder sollen deshalb sofort mehr Geld geben. Und sie sollen viel mehr Geld geben, als sie bisher gesagt haben	Donald Trump hat gesagt: Das Land Russland kontrolliert die Politik in Deutschland. Und: Deutschland zahlt viel Geld an Russland für Erdgas. Deshalb ist Deutschland ein Gefangener von Russland. Angela Merkel hat gesagt: Das stimmt nicht. Wir entscheiden selbst über unsere Politik
75	Der Präsident von den USA hat auch Streit gehabt mit Angela Merkel	Donald Trump hat gesagt: Das Land Russland kontrolliert die Politik in Deutschland. Und: Deutschland zahlt viel Geld an Russland für Erdgas. Deshalb ist Deutschland ein Gefangener von Russland. Angela Merkel hat gesagt: Das stimmt nicht. Wir entscheiden selbst über unsere Politik	und zwar	NA	NA	aerger-bei-nato-treffen.2042.de.html__dram_article__id=422758.txt	Implicit	Expansion.Level-of-detail.Arg2-as-detail	NA	NA	NA	NA	NA
76	Donald Trump hat gesagt: Das Land Russland kontrolliert die Politik in Deutschland	Deutschland zahlt viel Geld an Russland für Erdgas	NA	NA	Und	aerger-bei-nato-treffen.2042.de.html__dram_article__id=422758.txt	Explicit	Expansion.Conjunction	NA	NA	NA	NA	NA
77	Deutschland zahlt viel Geld an Russland für Erdgas	ist Deutschland ein Gefangener von Russland	NA	NA	Deshalb	aerger-bei-nato-treffen.2042.de.html__dram_article__id=422758.txt	Explicit	Contingency.Cause.Result	NA	NA	NA	NA	NA
78	Donald Trump hat gesagt: Das Land Russland kontrolliert die Politik in Deutschland	Angela Merkel hat gesagt: Das stimmt nicht	NA	NA	hat gesagt...hat gesagt	aerger-bei-nato-treffen.2042.de.html__dram_article__id=422758.txt	AltLexC	Comparison.Contrast	NA	NA	NA	Und: Deutschland zahlt viel Geld an Russland für Erdgas. Deshalb ist Deutschland ein Gefangener von Russland	Wir entscheiden selbst über unsere Politik
79	Das stimmt nicht	Wir entscheiden selbst über unsere Politik	denn	NA	NA	aerger-bei-nato-treffen.2042.de.html__dram_article__id=422758.txt	Implicit	Contingency.Cause+Belief.Reason+Belief	NA	NA	NA	NA	NA
80	Der Präsident von den USA hat auch Streit gehabt mit Angela Merkel	Donald Trump und Angela Merkel haben...miteinander gesprochen	NA	NA	deshalb	aerger-bei-nato-treffen.2042.de.html__dram_article__id=422758.txt	Explicit	Contingency.Cause.Result	NA	NA	NA	Donald Trump hat gesagt: Das Land Russland kontrolliert die Politik in Deutschland. Und: Deutschland zahlt viel Geld an Russland für Erdgas. Deshalb ist Deutschland ein Gefangener von Russland. Angela Merkel hat gesagt: Das stimmt nicht. Wir entscheiden selbst über unsere Politik	NA
81	Donald Trump und Angela Merkel haben deshalb miteinander gesprochen	hat Donald Trump gesagt: Die USA haben eine gute Beziehung zu Deutschland	NA	NA	Danach	aerger-bei-nato-treffen.2042.de.html__dram_article__id=422758.txt	Explicit	Contingency.Cause.Result	Temporal.Asynchronous.Precedence	NA	NA	NA	NA
82	In der Stadt Amsterdam in den Niederlanden hat es eine wichtige Konferenz gegeben	Dort haben 15.000 Experten darüber beraten, wie man die Krankheit besser bekämpfen kann	NA	NA	Dort	aids-konferenz.2042.de.html__dram_article__id=423882.txt	AltLex	Expansion.Level-of-detail.Arg2-as-detail	NA	NA	NA	– die Welt-Aids-Konferenz	NA
83	Dort haben 15.000 Experten darüber beraten, wie man die Krankheit besser bekämpfen kann	Aids ist eine Krankheit	NA	NA	NA	aids-konferenz.2042.de.html__dram_article__id=423882.txt	EntRel	NA	NA	NA	NA	NA	NA
84	Aids ist eine Krankheit	Man kann sie bekommen	NA	NA	NA	aids-konferenz.2042.de.html__dram_article__id=423882.txt	EntRel	NA	NA	NA	NA	NA	NA
85	Man kann sie bekommen	man sich mit dem HI-Virus angesteckt hat	NA	NA	wenn	aids-konferenz.2042.de.html__dram_article__id=423882.txt	Explicit	Contingency.Condition.Arg2-as-cond	NA	NA	NA	NA	NA
86	wenn man sich mit dem HI-Virus angesteckt hat	Das Virus wird...beim Sex übertragen	NA	NA	zum Beispiel	aids-konferenz.2042.de.html__dram_article__id=423882.txt	Explicit	Expansion.Instantiation.Arg2-as-instance	NA	NA	NA	NA	NA
87	Das Virus wird zum Beispiel beim Sex übertragen	Es gibt immer bessere Medikamente gegen Aids	jedoch	NA	NA	aids-konferenz.2042.de.html__dram_article__id=423882.txt	Implicit	Comparison.Concession.Arg2-as-denier	NA	NA	NA	Man kann sie bekommen, wenn man sich mit dem HI-Virus angesteckt hat	NA
88	Es gibt immer bessere Medikamente gegen Aids	sterben immer weniger Menschen an der Krankheit	NA	NA	Deshalb	aids-konferenz.2042.de.html__dram_article__id=423882.txt	Explicit	Contingency.Cause.Result	NA	NA	NA	NA	NA
